Passport,Destination,PI,HPI
China,Armenia,180,visa on arrival
China,Australia,e-visa,visa required
China,Benin,e-visa,visa free
China,Botswana,e-visa,visa required
China,Cambodia,e-visa,visa on arrival
China,Colombia,e-visa,visa required
China,Comoros,visa on arrival,visa free
China,DR Congo,e-visa,visa required
China,Costa Rica,visa required,visa free
China,Ivory Coast,e-visa,visa required
China,Djibouti,e-visa,visa required
China,Egypt,e-visa,visa free
China,Ethiopia,e-visa,visa on arrival
China,Gabon,e-visa,visa on arrival
China,Georgia,e-visa,visa required
China,Guinea,e-visa,visa free
China,Guyana,visa on arrival,visa required
China,Indonesia,visa on arrival,visa free
China,Iran,21,visa on arrival
China,Iraq,visa on arrival,visa free
China,Kazakhstan,14,visa required
China,Kenya,e-visa,visa required
China,Kyrgyzstan,e-visa,visa required
China,Lesotho,e-visa,visa required
China,Macao,visa on arrival,visa required
China,Malaysia,e-visa,visa required
China,Moldova,e-visa,visa required
China,Mongolia,e-visa,visa required
China,Myanmar,e-visa,visa on arrival
China,Nigeria,visa on arrival,visa required
China,Oman,visa on arrival,visa free
China,Palestine,visa free,visa required
China,Qatar,Hayya Entry Permit,visa free
China,Senegal,visa required,visa on arrival
China,Seychelles,90,visa on arrival
China,Singapore,e-visa,visa required
China,South Africa,e-visa,visa required
China,South Sudan,e-visa,visa required
China,Tajikistan,e-visa,visa required
China,Turkey,e-visa,visa required
China,Uganda,e-visa,visa on arrival
China,Ukraine,e-visa,visa required
China,United Arab Emirates,visa on arrival,visa free
China,Zambia,90,visa required
China,Zimbabwe,e-visa,visa on arrival
Colombia,Angola,visa on arrival,visa required
Colombia,Armenia,e-visa,visa on arrival
Colombia,Australia,e-visa,visa required
Colombia,Azerbaijan,e-visa,visa required
Colombia,Benin,e-visa,visa required
Colombia,Botswana,e-visa,visa required
Colombia,Cambodia,e-visa,visa on arrival
Colombia,DR Congo,e-visa,visa required
Colombia,Ivory Coast,e-visa,visa required
Colombia,Djibouti,e-visa,visa required
Colombia,Ethiopia,e-visa,visa required
Colombia,Gabon,e-visa,visa required
Colombia,Guinea,e-visa,visa required
Colombia,India,e-visa,visa required
Colombia,Indonesia,visa on arrival,visa free
Colombia,Iran,e-visa,visa required
Colombia,Jordan,visa on arrival,visa required
Colombia,Kenya,e-visa,visa required
Colombia,Kyrgyzstan,e-visa,visa required
Colombia,Lesotho,e-visa,visa required
Colombia,Malawi,e-visa,visa required
Colombia,Malaysia,e-visa,visa required
Colombia,Myanmar,e-visa,visa required
Colombia,Nigeria,visa on arrival,visa required
Colombia,Oman,visa on arrival,visa free
Colombia,Pakistan,e-visa,visa required
Colombia,Qatar,Hayya Entry Permit,visa free
Colombia,Sao Tome and Principe,e-visa,visa required
Colombia,Senegal,visa required,visa on arrival
Colombia,Seychelles,90,visa on arrival
Colombia,Sierra Leone,visa on arrival,visa required
Colombia,South Korea,e-visa,visa required
Colombia,South Sudan,e-visa,visa required
Colombia,Suriname,e-visa,visa required
Colombia,Taiwan,e-visa,visa required
Colombia,Tajikistan,e-visa,visa required
Colombia,Uganda,e-visa,visa on arrival
Colombia,United Kingdom,180,visa required
Colombia,Uzbekistan,e-visa,visa required
Colombia,Vietnam,e-visa,visa required
Colombia,Zimbabwe,e-visa,visa required
Comoros,Albania,e-visa,visa required
Comoros,Angola,visa on arrival,visa required
Comoros,Antigua and Barbuda,e-visa,visa required
Comoros,Australia,e-visa,visa required
Comoros,Azerbaijan,covid ban,visa required
Comoros,Bahrain,e-visa,visa required
Comoros,Barbados,90,visa required
Comoros,Botswana,e-visa,visa required
Comoros,Cambodia,e-visa,visa on arrival
Comoros,Colombia,e-visa,visa required
Comoros,DR Congo,e-visa,visa required
Comoros,Ivory Coast,e-visa,visa required
Comoros,Djibouti,e-visa,visa required
Comoros,Ethiopia,e-visa,visa on arrival
Comoros,Gabon,e-visa,visa required
Comoros,Georgia,e-visa,visa required
Comoros,Guinea,e-visa,visa required
Comoros,Guyana,visa on arrival,visa required
Comoros,India,e-visa,visa required
Comoros,Indonesia,visa required,visa free
Comoros,Iran,e-visa,visa on arrival
Comoros,Kazakhstan,e-visa,visa required
Comoros,Kenya,e-visa,visa required
Comoros,Kyrgyzstan,e-visa,visa required
Comoros,Lesotho,e-visa,visa required
Comoros,Madagascar,visa required,visa on arrival
Comoros,Moldova,e-visa,visa required
Comoros,Nigeria,visa on arrival,visa required
Comoros,Oman,e-visa,visa required
Comoros,Pakistan,e-visa,visa required
Comoros,Qatar,Hayya Entry Permit,visa required
Comoros,Saint Kitts and Nevis,e-visa,visa required
Comoros,Sao Tome and Principe,e-visa,visa required
Comoros,Seychelles,90,visa on arrival
Comoros,Sierra Leone,visa on arrival,visa required
Comoros,South Sudan,e-visa,visa required
Comoros,Suriname,e-visa,visa required
Comoros,Tajikistan,e-visa,visa required
Comoros,United Arab Emirates,e-visa,visa required
Comoros,Uzbekistan,e-visa,visa required
Congo,Albania,e-visa,visa required
Congo,Angola,visa on arrival,visa required
Congo,Antigua and Barbuda,e-visa,visa required
Congo,Australia,e-visa,visa required
Congo,Azerbaijan,covid ban,visa required
Congo,Bahrain,e-visa,visa required
Congo,Barbados,90,visa required
Congo,Botswana,e-visa,visa required
Congo,Cambodia,e-visa,visa on arrival
Congo,Colombia,e-visa,visa required
Congo,Djibouti,e-visa,visa required
Congo,Ecuador,e-visa,visa free
Congo,Ethiopia,e-visa,visa on arrival
Congo,Guinea,e-visa,visa required
Congo,Guyana,visa on arrival,visa required
Congo,Iran,e-visa,visa on arrival
Congo,Kazakhstan,e-visa,visa required
Congo,Kenya,e-visa,visa required
Congo,Kyrgyzstan,e-visa,visa required
Congo,Lesotho,e-visa,visa required
Congo,Malaysia,e-visa,visa required
Congo,Moldova,e-visa,visa required
Congo,Morocco,e-visa,visa free
Congo,Oman,e-visa,visa required
Congo,Pakistan,e-visa,visa required
Congo,Qatar,Hayya Entry Permit,visa required
Congo,Saint Kitts and Nevis,e-visa,visa required
Congo,Sao Tome and Principe,e-visa,visa required
Congo,Seychelles,90,visa on arrival
Congo,Sierra Leone,visa on arrival,visa required
Congo,South Sudan,e-visa,visa required
Congo,Sri Lanka,e-visa,visa required
Congo,Suriname,e-visa,visa required
Congo,Tajikistan,e-visa,visa required
Congo,Uganda,e-visa,visa on arrival
Congo,United Arab Emirates,e-visa,visa required
Congo,Uzbekistan,e-visa,visa required
Congo,Zimbabwe,e-visa,visa required
DR Congo,Albania,e-visa,visa required
DR Congo,Angola,visa on arrival,visa required
DR Congo,Antigua and Barbuda,e-visa,visa required
DR Congo,Australia,e-visa,visa required
DR Congo,Azerbaijan,covid ban,visa required
DR Congo,Bahrain,e-visa,visa required
DR Congo,Barbados,90,visa required
DR Congo,Bolivia,visa on arrival,visa required
DR Congo,Botswana,e-visa,visa required
DR Congo,Cambodia,e-visa,visa on arrival
DR Congo,Colombia,e-visa,visa required
DR Congo,Ivory Coast,e-visa,visa required
DR Congo,Djibouti,e-visa,visa required
DR Congo,Ecuador,e-visa,visa required
DR Congo,Ethiopia,e-visa,visa on arrival
DR Congo,Gabon,e-visa,visa required
DR Congo,Guinea,e-visa,visa required
DR Congo,Guyana,visa on arrival,visa required
DR Congo,Iran,e-visa,visa on arrival
DR Congo,Kenya,e-visa,visa required
DR Congo,Kyrgyzstan,e-visa,visa required
DR Congo,Lesotho,e-visa,visa required
DR Congo,Malawi,e-visa,visa required
DR Congo,Malaysia,e-visa,visa required
DR Congo,Moldova,e-visa,visa required
DR Congo,Oman,e-visa,visa required
DR Congo,Pakistan,e-visa,visa required
DR Congo,Qatar,Hayya Entry Permit,visa required
DR Congo,Saint Kitts and Nevis,e-visa,visa required
DR Congo,Sao Tome and Principe,e-visa,visa required
DR Congo,Seychelles,90,visa on arrival
DR Congo,Sierra Leone,visa on arrival,visa required
DR Congo,South Africa,e-visa,visa required
DR Congo,South Sudan,e-visa,visa required
DR Congo,Sri Lanka,e-visa,visa required
DR Congo,Suriname,e-visa,visa required
DR Congo,Tajikistan,e-visa,visa required
DR Congo,Uganda,e-visa,visa on arrival
DR Congo,United Arab Emirates,e-visa,visa required
DR Congo,Uzbekistan,e-visa,visa required
Costa Rica,Angola,visa on arrival,visa required
Costa Rica,Antigua and Barbuda,e-visa,visa required
Costa Rica,Armenia,e-visa,visa on arrival
Costa Rica,Australia,e-visa,visa required
Costa Rica,Azerbaijan,e-visa,visa required
Costa Rica,Bahrain,e-visa,visa required
Costa Rica,Benin,e-visa,visa required
Costa Rica,Cambodia,e-visa,visa on arrival
Costa Rica,DR Congo,e-visa,visa required
Costa Rica,Ivory Coast,e-visa,visa required
Costa Rica,Djibouti,e-visa,visa required
Costa Rica,Ethiopia,e-visa,visa required
Costa Rica,Gabon,e-visa,visa required
Costa Rica,Guinea,e-visa,visa required
Costa Rica,India,e-visa,visa required
Costa Rica,Indonesia,visa required,visa free
Costa Rica,Iran,e-visa,visa on arrival
Costa Rica,Japan,90,visa required
Costa Rica,Kazakhstan,e-visa,visa required
Costa Rica,Kenya,e-visa,visa required
Costa Rica,Kyrgyzstan,e-visa,visa required
Costa Rica,Lesotho,e-visa,visa required
Costa Rica,Myanmar,e-visa,visa required
Costa Rica,Nigeria,visa on arrival,visa required
Costa Rica,Oman,e-visa,visa free
Costa Rica,Qatar,Hayya Entry Permit,visa free
Costa Rica,Sao Tome and Principe,e-visa,visa required
Costa Rica,Seychelles,90,visa on arrival
Costa Rica,Sierra Leone,visa on arrival,visa required
Costa Rica,South Korea,e-visa,visa required
Costa Rica,South Sudan,e-visa,visa required
Costa Rica,Suriname,e-visa,visa required
Costa Rica,Tajikistan,e-visa,visa required
Costa Rica,Uganda,e-visa,visa on arrival
Costa Rica,Ukraine,e-visa,visa required
Ivory Coast,Albania,e-visa,visa required
Ivory Coast,Angola,visa on arrival,visa required
Ivory Coast,Antigua and Barbuda,e-visa,visa required
Ivory Coast,Australia,e-visa,visa required
Ivory Coast,Azerbaijan,covid ban,visa required
Ivory Coast,Bahrain,e-visa,visa required
Ivory Coast,Barbados,90,visa required
Ivory Coast,Botswana,e-visa,visa required
Ivory Coast,Cambodia,e-visa,visa on arrival
Ivory Coast,Colombia,e-visa,visa required
Ivory Coast,DR Congo,e-visa,visa required
Ivory Coast,Djibouti,e-visa,visa required
Ivory Coast,Ecuador,e-visa,visa free
Ivory Coast,Ethiopia,e-visa,visa on arrival
Ivory Coast,Gabon,e-visa,visa required
Ivory Coast,Guyana,visa on arrival,visa required
Ivory Coast,India,e-visa,visa required
Ivory Coast,Indonesia,visa required,visa free
Ivory Coast,Iran,e-visa,visa on arrival
Ivory Coast,Kazakhstan,e-visa,visa required
Ivory Coast,Kenya,e-visa,visa required
Ivory Coast,Kyrgyzstan,e-visa,visa required
Ivory Coast,Lesotho,e-visa,visa required
Ivory Coast,Malaysia,e-visa,visa required
Ivory Coast,Moldova,e-visa,visa required
Ivory Coast,Myanmar,e-visa,visa required
Ivory Coast,Namibia,visa on arrival,visa free
Ivory Coast,Oman,e-visa,visa required
Ivory Coast,Pakistan,e-visa,visa required
Ivory Coast,Qatar,Hayya Entry Permit,visa required
Ivory Coast,Rwanda,90,visa on arrival
Ivory Coast,Saint Kitts and Nevis,e-visa,visa required
Ivory Coast,Sao Tome and Principe,e-visa,visa required
Ivory Coast,Seychelles,90,visa on arrival
Ivory Coast,South Sudan,e-visa,visa required
Ivory Coast,Sri Lanka,visa on arrival,visa required
Ivory Coast,Suriname,e-visa,visa required
Ivory Coast,Tajikistan,e-visa,visa required
Ivory Coast,Uganda,e-visa,visa on arrival
Ivory Coast,United Arab Emirates,e-visa,visa required
Ivory Coast,Uzbekistan,e-visa,visa required
Ivory Coast,Zambia,e-visa,visa required
Ivory Coast,Zimbabwe,e-visa,visa required
Croatia,Angola,visa on arrival,visa required
Croatia,Australia,e-visa,visa required
Croatia,Azerbaijan,e-visa,visa required
Croatia,Benin,e-visa,visa required
Croatia,Cambodia,e-visa,visa on arrival
Croatia,DR Congo,e-visa,visa required
Croatia,Ivory Coast,e-visa,visa required
Croatia,Djibouti,e-visa,visa required
Croatia,Ethiopia,e-visa,visa required
Croatia,Gabon,e-visa,visa on arrival
Croatia,Guinea,e-visa,visa required
Croatia,Guyana,visa on arrival,visa required
Croatia,India,e-visa,visa required
Croatia,Indonesia,visa on arrival,visa free
Croatia,Iran,e-visa,visa on arrival
Croatia,Iraq,visa on arrival,visa free
Croatia,Japan,90,visa required
Croatia,Kenya,e-visa,visa required
Croatia,Kuwait,e-visa,visa on arrival
Croatia,Lesotho,e-visa,visa required
Croatia,Myanmar,e-visa,visa required
Croatia,Nigeria,visa on arrival,visa required
Croatia,Oman,visa on arrival,visa free
Croatia,Pakistan,e-visa,visa required
Croatia,Papua New Guinea,e-visa,visa on arrival
Croatia,Qatar,Hayya Entry Permit,visa free
Croatia,Seychelles,90,visa on arrival
Croatia,South Korea,e-visa,visa required
Croatia,South Sudan,e-visa,visa required
Croatia,Suriname,e-visa,visa required
Croatia,Tajikistan,30,visa on arrival
Croatia,Uganda,e-visa,visa on arrival
Croatia,United States,e-visa,visa free
Croatia,Vietnam,e-visa,visa required
Croatia,Zambia,90,visa on arrival
Cuba,Albania,e-visa,visa required
Cuba,Angola,visa on arrival,visa required
Cuba,Armenia,e-visa,visa on arrival
Cuba,Australia,e-visa,visa required
Cuba,Azerbaijan,e-visa,visa required
Cuba,Bahrain,e-visa,visa required
Cuba,Benin,e-visa,visa required
Cuba,Cambodia,e-visa,visa on arrival
Cuba,Colombia,e-visa,visa required
Cuba,DR Congo,e-visa,visa required
Cuba,Ivory Coast,e-visa,visa required
Cuba,Djibouti,e-visa,visa required
Cuba,Ecuador,e-visa,visa required
Cuba,Ethiopia,e-visa,visa required
Cuba,Fiji,120,visa required
Cuba,Gabon,e-visa,visa required
Cuba,Georgia,e-visa,visa required
Cuba,Guinea,e-visa,visa required
Cuba,India,e-visa,visa required
Cuba,Indonesia,visa required,visa free
Cuba,Iran,e-visa,visa on arrival
Cuba,Kazakhstan,e-visa,visa required
Cuba,Kenya,e-visa,visa required
Cuba,Lesotho,e-visa,visa required
Cuba,Malawi,e-visa,visa required
Cuba,Nicaragua,90,visa required
Cuba,Nigeria,visa on arrival,visa required
Cuba,Oman,e-visa,visa free
Cuba,Pakistan,e-visa,visa required
Cuba,Palestine,visa free,visa required
Cuba,Qatar,Hayya Entry Permit,visa free
Cuba,Sao Tome and Principe,e-visa,visa required
Cuba,Senegal,visa required,visa on arrival
Cuba,Seychelles,90,visa on arrival
Cuba,Sierra Leone,visa on arrival,visa required
Cuba,South Sudan,e-visa,visa required
Cuba,Suriname,e-visa,visa required
Cuba,Tajikistan,30,visa on arrival
Cuba,Uganda,e-visa,visa on arrival
Cuba,United Arab Emirates,e-visa,visa required
Cuba,Vietnam,e-visa,visa required
Cyprus,Angola,visa on arrival,visa required
Cyprus,Australia,e-visa,visa required
Cyprus,Azerbaijan,e-visa,visa required
Cyprus,Benin,e-visa,visa required
Cyprus,Cambodia,e-visa,visa on arrival
Cyprus,DR Congo,e-visa,visa required
Cyprus,Ivory Coast,e-visa,visa required
Cyprus,Djibouti,e-visa,visa required
Cyprus,Ethiopia,e-visa,visa required
Cyprus,Gabon,e-visa,visa on arrival
Cyprus,Guinea,e-visa,visa required
Cyprus,Guyana,visa on arrival,visa required
Cyprus,India,e-visa,visa required
Cyprus,Indonesia,visa on arrival,visa free
Cyprus,Iran,e-visa,visa on arrival
Cyprus,Iraq,visa on arrival,visa free
Cyprus,Japan,90,visa required
Cyprus,Kuwait,e-visa,visa on arrival
Cyprus,Kyrgyzstan,60,visa on arrival
Cyprus,Lesotho,e-visa,visa free
Cyprus,Myanmar,e-visa,visa required
Cyprus,Nigeria,visa on arrival,visa required
Cyprus,Oman,visa on arrival,visa free
Cyprus,Pakistan,e-visa,visa required
Cyprus,Papua New Guinea,e-visa,visa on arrival
Cyprus,Qatar,Hayya Entry Permit,visa free
Cyprus,Seychelles,90,visa on arrival
Cyprus,South Korea,e-visa,visa required
Cyprus,South Sudan,e-visa,visa required
Cyprus,Suriname,e-visa,visa required
Cyprus,Turkey,e-visa,visa required
Cyprus,Vietnam,e-visa,visa required
Czech Republic,Angola,visa on arrival,visa required
Czech Republic,Australia,e-visa,visa required
Czech Republic,Azerbaijan,e-visa,visa required
Czech Republic,Benin,e-visa,visa required
Czech Republic,Cambodia,e-visa,visa on arrival
Czech Republic,DR Congo,e-visa,visa required
Czech Republic,Ivory Coast,e-visa,visa required
Czech Republic,Djibouti,e-visa,visa required
Czech Republic,Ethiopia,e-visa,visa on arrival
Czech Republic,Gabon,e-visa,visa on arrival
Czech Republic,Guinea,e-visa,visa required
Czech Republic,Guyana,visa on arrival,visa required
Czech Republic,India,e-visa,visa required
Czech Republic,Indonesia,visa on arrival,visa free
Czech Republic,Iran,e-visa,visa on arrival
Czech Republic,Iraq,visa on arrival,visa free
Czech Republic,Japan,90,visa required
Czech Republic,Kenya,e-visa,visa required
Czech Republic,Kuwait,e-visa,visa on arrival
Czech Republic,Mongolia,e-visa,visa required
Czech Republic,Myanmar,e-visa,visa on arrival
Czech Republic,Nigeria,visa on arrival,visa required
Czech Republic,Oman,visa on arrival,visa free
Czech Republic,Pakistan,e-visa,visa required
Czech Republic,Papua New Guinea,e-visa,visa on arrival
Czech Republic,Qatar,Hayya Entry Permit,visa free
Czech Republic,Seychelles,90,visa on arrival
Czech Republic,South Korea,e-visa,visa required
Czech Republic,South Sudan,e-visa,visa required
Czech Republic,Suriname,e-visa,visa required
Czech Republic,Tajikistan,30,visa on arrival
Czech Republic,Uganda,e-visa,visa on arrival
Czech Republic,Vietnam,e-visa,visa required
Czech Republic,Zambia,90,visa on arrival
Denmark,Angola,visa on arrival,visa required
Denmark,Azerbaijan,e-visa,visa required
Denmark,Benin,e-visa,visa required
Denmark,Cambodia,e-visa,visa on arrival
Denmark,DR Congo,e-visa,visa required
Denmark,Ivory Coast,e-visa,visa required
Denmark,Djibouti,e-visa,visa required
Denmark,Ethiopia,e-visa,visa on arrival
Denmark,Gabon,e-visa,visa on arrival
Denmark,Guinea,e-visa,visa required
Denmark,India,e-visa,visa required
Denmark,Indonesia,visa on arrival,visa free
Denmark,Iran,e-visa,visa on arrival
Denmark,Iraq,visa on arrival,visa free
Denmark,Japan,90,visa required
Denmark,Kenya,e-visa,visa required
Denmark,Kuwait,e-visa,visa on arrival
Denmark,Laos,visa on arrival,visa free
Denmark,Myanmar,e-visa,visa required
Denmark,Nigeria,visa on arrival,visa required
Denmark,Oman,visa on arrival,visa free
Denmark,Pakistan,e-visa,visa required
Denmark,Papua New Guinea,e-visa,visa on arrival
Denmark,Qatar,Hayya Entry Permit,visa free
Denmark,Seychelles,90,visa on arrival
Denmark,South Korea,e-visa,visa required
Denmark,South Sudan,e-visa,visa required
Denmark,Suriname,e-visa,visa required
Denmark,Tajikistan,30,visa on arrival
Denmark,Uganda,e-visa,visa on arrival
Denmark,Zambia,90,visa on arrival
Djibouti,Albania,e-visa,visa required
Djibouti,Angola,visa on arrival,visa required
Djibouti,Antigua and Barbuda,e-visa,visa required
Djibouti,Australia,e-visa,visa required
Djibouti,Azerbaijan,covid ban,visa required
Djibouti,Bahrain,e-visa,visa required
Djibouti,Barbados,90,visa required
Djibouti,Botswana,e-visa,visa required
Djibouti,Cambodia,e-visa,visa on arrival
Djibouti,Colombia,e-visa,visa required
Djibouti,DR Congo,e-visa,visa required
Djibouti,Ivory Coast,e-visa,visa required
Djibouti,Gabon,e-visa,visa required
Djibouti,Georgia,e-visa,visa required
Djibouti,Guinea,e-visa,visa required
Djibouti,Guyana,visa on arrival,visa required
Djibouti,India,e-visa,visa required
Djibouti,Iran,e-visa,visa on arrival
Djibouti,Kazakhstan,e-visa,visa required
Djibouti,Kenya,e-visa,visa required
Djibouti,Kyrgyzstan,e-visa,visa required
Djibouti,Lesotho,e-visa,visa required
Djibouti,Malawi,e-visa,visa required
Djibouti,Malaysia,e-visa,visa required
Djibouti,Moldova,e-visa,visa required
Djibouti,Oman,e-visa,visa required
Djibouti,Pakistan,e-visa,visa required
Djibouti,Qatar,Hayya Entry Permit,visa required
Djibouti,Saint Kitts and Nevis,e-visa,visa required
Djibouti,Sao Tome and Principe,e-visa,visa required
Djibouti,Seychelles,90,visa on arrival
Djibouti,Sierra Leone,visa on arrival,visa required
Djibouti,South Sudan,e-visa,visa required
Djibouti,Suriname,e-visa,visa required
Djibouti,Tajikistan,e-visa,visa required
Djibouti,Tanzania,e-visa,visa required
Djibouti,Uganda,e-visa,visa on arrival
Djibouti,United Arab Emirates,e-visa,visa required
Djibouti,Uzbekistan,e-visa,visa required
Djibouti,Zimbabwe,e-visa,visa required
Dominica,Albania,e-visa,visa required
Dominica,Angola,visa on arrival,visa required
Dominica,Argentina,visa required,visa free
Dominica,Armenia,e-visa,visa on arrival
Dominica,Australia,e-visa,visa required
Dominica,Azerbaijan,covid ban,visa required
Dominica,Bahrain,e-visa,visa required
Dominica,Benin,e-visa,visa required
Dominica,Cambodia,e-visa,visa on arrival
Dominica,Cape Verde,visa free,visa on arrival
Dominica,DR Congo,e-visa,visa required
Dominica,Ivory Coast,e-visa,visa required
Dominica,Djibouti,e-visa,visa required
Dominica,Ethiopia,e-visa,visa required
Dominica,Gabon,e-visa,visa required
Dominica,Georgia,e-visa,visa required
Dominica,Guinea,e-visa,visa required
Dominica,India,e-visa,visa required
Dominica,Indonesia,visa required,visa free
Dominica,Iran,e-visa,visa on arrival
Dominica,Kazakhstan,e-visa,visa required
Dominica,Kyrgyzstan,e-visa,visa required
Dominica,Nigeria,visa on arrival,visa required
Dominica,Oman,e-visa,visa required
Dominica,Pakistan,e-visa,visa required
Dominica,Papua New Guinea,e-visa,visa required
Dominica,Qatar,Hayya Entry Permit,visa required
Dominica,Sao Tome and Principe,e-visa,visa required
Dominica,Senegal,visa required,visa on arrival
Dominica,Seychelles,90,visa on arrival
Dominica,South Korea,e-visa,visa required
Dominica,South Sudan,e-visa,visa required
Dominica,Taiwan,e-visa,visa required
Dominica,Tajikistan,e-visa,visa required
Dominica,Turkey,e-visa,visa required
Dominica,Uganda,e-visa,visa on arrival
Dominica,United Arab Emirates,e-visa,visa required
Dominica,Zimbabwe,e-visa,visa required
Dominican Republic,Albania,e-visa,visa required
Dominican Republic,Angola,visa on arrival,visa required
Dominican Republic,Antigua and Barbuda,e-visa,visa required
Dominican Republic,Armenia,e-visa,visa on arrival
Dominican Republic,Australia,e-visa,visa required
Dominican Republic,Azerbaijan,covid ban,visa required
Dominican Republic,Bahrain,e-visa,visa required
Dominican Republic,Benin,e-visa,visa required
Dominican Republic,Cambodia,e-visa,visa on arrival
Dominican Republic,DR Congo,e-visa,visa required
Dominican Republic,Ivory Coast,e-visa,visa required
Dominican Republic,Cuba,visa required,visa free
Dominican Republic,Djibouti,e-visa,visa required
Dominican Republic,Ethiopia,e-visa,visa required
Dominican Republic,Gabon,e-visa,visa required
Dominican Republic,Guinea,e-visa,visa required
Dominican Republic,India,e-visa,visa required
Dominican Republic,Indonesia,visa required,visa free
Dominican Republic,Iran,e-visa,visa on arrival
Dominican Republic,Japan,90,visa required
Dominican Republic,Kazakhstan,e-visa,visa required
Dominican Republic,Kenya,e-visa,visa required
Dominican Republic,Kyrgyzstan,e-visa,visa required
Dominican Republic,Lesotho,e-visa,visa required
Dominican Republic,Moldova,e-visa,visa required
Dominican Republic,Nigeria,visa on arrival,visa required
Dominican Republic,Oman,e-visa,visa required
Dominican Republic,Pakistan,e-visa,visa required
Dominican Republic,Qatar,Hayya Entry Permit,visa free
Dominican Republic,Saint Kitts and Nevis,e-visa,visa required
Dominican Republic,Sao Tome and Principe,e-visa,visa required
Dominican Republic,Senegal,visa required,visa on arrival
Dominican Republic,Seychelles,90,visa on arrival
Dominican Republic,Sierra Leone,visa on arrival,visa required
Dominican Republic,South Korea,e-visa,visa required
Dominican Republic,South Sudan,e-visa,visa required
Dominican Republic,Suriname,e-visa,visa required
Dominican Republic,Tajikistan,30,visa required
Dominican Republic,Tunisia,7,visa required
Dominican Republic,Turkey,e-visa,visa required
Dominican Republic,Uganda,e-visa,visa on arrival
Dominican Republic,Ukraine,e-visa,visa required
Dominican Republic,United Arab Emirates,e-visa,visa required
Ecuador,Albania,e-visa,visa required
Ecuador,Angola,visa on arrival,visa required
Ecuador,Antigua and Barbuda,90,visa required
Ecuador,Armenia,e-visa,visa on arrival
Ecuador,Australia,e-visa,visa required
Ecuador,Azerbaijan,e-visa,visa required
Ecuador,Barbados,90,visa required
Ecuador,Benin,e-visa,visa required
Ecuador,Botswana,e-visa,visa required
Ecuador,Cambodia,e-visa,visa on arrival
Ecuador,DR Congo,e-visa,visa required
Ecuador,Ivory Coast,e-visa,visa required
Ecuador,Djibouti,e-visa,visa required
Ecuador,Ethiopia,e-visa,visa required
Ecuador,Gabon,e-visa,visa required
Ecuador,Grenada,90,visa required
Ecuador,Guinea,e-visa,visa required
Ecuador,India,e-visa,visa required
Ecuador,Indonesia,visa on arrival,visa free
Ecuador,Iran,e-visa,visa on arrival
Ecuador,Kenya,e-visa,visa required
Ecuador,Kyrgyzstan,e-visa,visa required
Ecuador,Lesotho,e-visa,visa required
Ecuador,Mexico,visa required,visa free
Ecuador,Mongolia,30,visa required
Ecuador,Myanmar,e-visa,visa required
Ecuador,Nigeria,visa on arrival,visa required
Ecuador,Oman,visa on arrival,visa free
Ecuador,Pakistan,e-visa,visa required
Ecuador,Papua New Guinea,e-visa,visa on arrival
Ecuador,Qatar,Hayya Entry Permit,visa free
Ecuador,Sao Tome and Principe,e-visa,visa required
Ecuador,Senegal,visa required,visa on arrival
Ecuador,Seychelles,90,visa on arrival
Ecuador,Sierra Leone,visa on arrival,visa required
Ecuador,Solomon Islands,visa required,visa on arrival
Ecuador,South Korea,e-visa,visa required
Ecuador,South Sudan,e-visa,visa required
Ecuador,Suriname,e-visa,visa required
Ecuador,Taiwan,e-visa,visa required
Ecuador,Tajikistan,30,visa required
Ecuador,Uganda,e-visa,visa on arrival
Ecuador,United Arab Emirates,e-visa,visa required
Ecuador,Uzbekistan,e-visa,visa required
Ecuador,Venezuela,90,visa required
Egypt,Angola,visa on arrival,visa required
Egypt,Antigua and Barbuda,e-visa,visa required
Egypt,Armenia,e-visa,visa required
Egypt,Australia,e-visa,visa required
Egypt,Azerbaijan,covid ban,visa required
Egypt,Bahrain,e-visa,visa required
Egypt,Barbados,90,visa required
Egypt,Botswana,e-visa,visa required
Egypt,Cambodia,e-visa,visa on arrival
Egypt,Colombia,e-visa,visa required
Egypt,DR Congo,e-visa,visa required
Egypt,Ivory Coast,e-visa,visa required
Egypt,Djibouti,e-visa,visa required
Egypt,Ecuador,e-visa,visa free
Egypt,Ethiopia,e-visa,visa on arrival
Egypt,Gabon,e-visa,visa required
Egypt,Georgia,e-visa,visa required
Egypt,Guyana,visa on arrival,visa required
Egypt,Indonesia,visa on arrival,visa free
Egypt,Kenya,e-visa,visa required
Egypt,Kyrgyzstan,e-visa,visa required
Egypt,Lesotho,e-visa,visa required
Egypt,Malawi,e-visa,visa required
Egypt,Moldova,e-visa,visa required
Egypt,Myanmar,e-visa,visa required
Egypt,Oman,e-visa,visa free
Egypt,Pakistan,e-visa,visa required
Egypt,Palestine,visa free,visa required
Egypt,Qatar,Hayya Entry Permit,visa required
Egypt,Sao Tome and Principe,e-visa,visa required
Egypt,Seychelles,90,visa on arrival
Egypt,Sierra Leone,visa on arrival,visa required
Egypt,Singapore,e-visa,visa required
Egypt,South Africa,e-visa,visa required
Egypt,South Sudan,e-visa,visa required
Egypt,Sri Lanka,visa on arrival,visa required
Egypt,Suriname,e-visa,visa required
Egypt,Uganda,e-visa,visa on arrival
Egypt,United Arab Emirates,e-visa,visa required
